,Label1,Label2,Count_normalized
4864,AraC-like ligand binding domain,SurA-like N-terminal domain,2.08
9340,CRISPR Cas6 N-terminal domain,"CRISPR-associated protein Cas6, N-terminal",3.0
17442,Domain of unknown function (DUF1983),Interleukin-like EMT inducer,1.1
14785,Calx-beta domain,MBG domain (YGX type),2.3
1079,Bridge helix of CRISPR-associated endonuclease Cas9,RRXRR protein,3.22
7058,"Group II intron, maturase-specific domain",IMS family HHH motif,1.61
14842,Flagellar Assembly Protein A beta solenoid domain,Protein kinase domain,1.95
14843,Flagellar Assembly Protein A N-terminal region,Protein kinase domain,1.95
1984,Diacylglycerol kinase catalytic domain,Periplasmic binding proteins and sugar binding domain of LacI family,1.95
1977,Periplasmic binding proteins and sugar binding domain of LacI family,YegS C-terminal NAD kinase beta sandwich-like domain,1.95
19981,"ATP synthase, Delta/Epsilon chain, beta-sandwich domain","ATP synthase, Delta/Epsilon chain, long alpha-helix domain",1.61
9390,Immunoglobulin-like domain of bacterial spore germination,Pilin (bacterial filament),1.61
9384,Pilin (bacterial filament),PrcB C-terminal,1.61
2314,LPXTG cell wall anchor motif,T-Q ester bond containing domain,2.4
9358,"Cation transporting ATPase, C-terminus",PAS domain,2.94
16861,Bacterial protein of unknown function (DUF916),Fungal cellulose binding domain,1.39
16862,Fungal cellulose binding domain,Protein of unknown function C-terminal (DUF3324),1.39
1981,"Oxidoreductase family, C-terminal alpha/beta domain",YegS C-terminal NAD kinase beta sandwich-like domain,1.79
1988,Diacylglycerol kinase catalytic domain,"Oxidoreductase family, C-terminal alpha/beta domain",1.79
2619,Transposase domain (DUF772),zinc-finger binding domain of transposase IS66,1.79
6498,GHMP kinases C terminal,HIT domain,1.61
6487,GHMP kinases N terminal domain,HIT domain,1.61
8823,Bacterial Ig-like domain (group 4),F5/8 type C domain,2.2
4865,AraC-like ligand binding domain,PPIC-type PPIASE domain,2.08
3464,Leucine rich repeat N-terminal domain,Right handed beta helix region,2.48
8963,Starch-binding associating with outer membrane,phage-Barnase-EndoU-ColicinE5/D-RelE like nuclease1,1.61
8961,SusD family,phage-Barnase-EndoU-ColicinE5/D-RelE like nuclease1,1.61
1169,CRISPR-associated protein Cse1 (CRISPR_cse1),Cas3 C-terminal domain,2.4
5300,ABC transporter,Helix-hairpin-helix motif,2.56
4984,CRISPR-associated protein (Cas_APE2256),"tRNA synthetase class II core domain (G, H, P, S and T)",1.79
4978,CRISPR-associated protein (Cas_APE2256),Seryl-tRNA synthetase N-terminal domain,1.79
6888,AsnC-type helix-turn-helix domain,Domain of unknonw function from B. Theta Gene description (DUF3874),1.61
15383,"Homoserine dehydrogenase, NAD binding domain",Molybdopterin cofactor-binding domain,1.61
15390,"Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain",Homoserine dehydrogenase,1.61
15387,Homoserine dehydrogenase,Molybdopterin cofactor-binding domain,1.61
15386,"Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain","Homoserine dehydrogenase, NAD binding domain",1.61
2606,AAA domain,Toprim-like,3.37
3577,Carbohydrate binding module (family 35),"Membrane-bound lytic murein transglycosylase C, N-terminal domain",1.95
5542,Glycosyl transferase family 2,Glycosyl transferases group 1,2.08
5632,"AIR synthase related protein, N-terminal domain","Oxidoreductase family, C-terminal alpha/beta domain",1.61
5633,"AIR synthase related protein, C-terminal domain","Oxidoreductase family, C-terminal alpha/beta domain",1.61
5093,CHC2 zinc finger,Protein of unknown function (DUF3991),2.2
5061,RHS protein,Spy0128-like isopeptide containing domain,1.95
497,"Bacterial regulatory proteins, luxR family",IrrE N-terminal-like domain,2.56
3763,Endonuclease/Exonuclease/phosphatase family,Putative transposase DNA-binding domain,2.3
653,Putative cell wall binding repeat,Two component regulator propeller,2.77
10312,Bacterial Ig-like domain,Calx-beta domain,2.48
5612,Anticodon binding domain,CRISPR associated protein Cas1,2.56
5620,CRISPR associated protein Cas1,"tRNA synthetases class I (E and Q), catalytic domain",2.56
3335,DnaB-like helicase N terminal domain,Putative ATP-dependent DNA helicase recG C-terminal,2.2
3752,LysM domain,Putative peptidoglycan binding domain,2.48
9911,7TM diverse intracellular signalling,His Kinase A (phospho-acceptor) domain,2.89
9739,DHH family,"Formyl transferase, C-terminal domain",1.79
9740,DHH family,Formyl transferase,1.79
1751,TrkA-C domain,Uncharacterised protein conserved in bacteria (DUF2326),1.61
1752,Cation transport protein,TrkA-C domain,1.61
3161,"Ppx/GppA phosphatase, domain III",YhcG PDDEXK nuclease domain,1.61
7581,PAS fold,"Translation initiation factor IF-3, C-terminal domain",3.09
3148,DUF1016 N-terminal domain,"Ppx/GppA phosphatase, domain III",1.61
3275,AAA domain,DnaB-like helicase N terminal domain,2.83
687,AAA domain,Family of unknown function (DUF5906),3.26
2237,Concanavalin A-like lectin/glucanases superfamily,Glycosyl hydrolases family 43,2.4
1498,NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus,tRNA pseudouridylate synthase B C-terminal domain,1.61
1493,NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus,TruB family pseudouridylate synthase (N terminal domain),1.61
1497,NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus,TruB family pseudouridylate synthase (N terminal domain),1.61
1494,NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus,tRNA pseudouridylate synthase B C-terminal domain,1.61
2261,Atrophied bacterial Ig domain,"Transcriptional regulatory protein, C terminal",2.4
4219,FAD synthetase,Riboflavin kinase,1.95
1203,Collagen triple helix repeat (20 copies),Domain of unknown function (DUF4183),1.61
14901,BFD-like [2Fe-2S] binding domain,G-rich domain on putative tyrosine kinase,1.61
6741,Bacterial Ig domain,Bacterial Ig-like domain,2.71
4118,KxYKxGKxW signal peptide,Listeria-Bacteroides repeat domain (List_Bact_rpt),2.4
4121,Listeria-Bacteroides repeat domain (List_Bact_rpt),PA domain,2.4
13229,Integrase,Phage integrase SAM-like domain,2.2
5366,"Oxidoreductase family, NAD-binding Rossmann fold",Pyridine nucleotide-disulphide oxidoreductase,1.79
2969,"Bifunctional DNA primase/polymerase, N-terminal",Toprim-like,2.71
12450,DnaB-like helicase N terminal domain,S1 RNA binding domain,1.95
15102,Prokaryotic N-terminal methylation motif,"Type IV minor pilin ComP, DNA uptake sequence receptor",1.61
8208,Bacterial Ig domain,PKD domain,2.83
4749,DHH family,DeoR-like helix-turn-helix domain,2.08
4720,DeoR C terminal sensor domain,Phosphotransferase enzyme family,1.79
3216,ATPase family associated with various cellular activities (AAA),Peptidase family M41,2.2
15088,"Bacterial regulatory proteins, lacI family",Enolase C-terminal domain-like,1.79
15094,"Bacterial regulatory proteins, lacI family",Enolase N-terminal domain-like,1.79
5305,ABC transporter transmembrane region,HhH-GPD superfamily base excision DNA repair protein,2.2
9732,DHHA1 domain,Formyl transferase,1.79
9731,DHHA1 domain,"Formyl transferase, C-terminal domain",1.79
4310,Predicted Permease Membrane Region,Sodium/hydrogen exchanger family,1.61
3890,FKBP-type peptidyl-prolyl cis-trans isomerase,Ferric iron reductase FhuF-like transporter,1.79
3891,FKBP-type peptidyl-prolyl cis-trans isomerase,FhuF 2Fe-2S C-terminal domain,1.79
11340,CotH kinase protein,Lectin like domain,1.95
1261,Acetyltransferase (GNAT) domain,Histidine biosynthesis protein,1.61
11968,Acetyltransferase (GNAT) domain,Molybdopterin oxidoreductase N-terminal domain,1.61
3560,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",Transglycosylase SLT domain,2.2
2208,Ig-like domain from next to BRCA1 gene,LPXTG cell wall anchor motif,1.95
1102,Chitobiase/beta-hexosaminidase C-terminal domain,Dockerin type I domain,2.2
12558,AAA domain,"Plasmid segregation protein ParM, N-terminal",2.2
12554,AAA domain,"Plasmid segregation protein ParM, C-terminal",2.2
2485,MacB-like periplasmic core domain,"Sigma-70 factor, region 1.2",2.08
668,Choline-binding repeat,Polysaccharide deacetylase,2.83
18058,Domain of unknown function (DUF4219),gag-polypeptide of LTR copia-type,1.39
7677,Chaperone of endosialidase,Pentapeptide repeats (9 copies),1.61
6990,GAD domain,TilS substrate C-terminal domain,1.61
6991,TilS substrate C-terminal domain,"tRNA synthetases class II (D, K and N)",1.61
8274,Bacterial DNA polymerase III alpha NTPase domain,Reverse transcriptase (RNA-dependent DNA polymerase),2.48
10715,FG-GAP-like repeat,Kelch motif,1.95
4746,DeoR-like helix-turn-helix domain,Poly A polymerase head domain,1.95
7457,Kelch motif,Secretion system C-terminal sorting domain,2.4
11758,Kelch motif,NHL repeat,1.79
17819,"Cmr1-like, C-terminal",RAMP superfamily,1.61
12759,CRISPR-associated protein (Cas_Cmr3),RAMP superfamily,1.61
1980,"Oxidoreductase family, NAD-binding Rossmann fold",YegS C-terminal NAD kinase beta sandwich-like domain,1.79
1987,Diacylglycerol kinase catalytic domain,"Oxidoreductase family, NAD-binding Rossmann fold",1.79
8960,Anti-CBASS protein Acb1-like,SusD family,1.61
8962,Anti-CBASS protein Acb1-like,Starch-binding associating with outer membrane,1.61
8301,Cold shock domain,Putative ATP-dependent DNA helicase recG C-terminal,2.08
7654,Bacterial dipeptidyl-peptidase Sh3 domain,N-acetylmuramoyl-L-alanine amidase,2.08
4747,DHHA1 domain,DeoR-like helix-turn-helix domain,2.08
649,Putative cell wall binding repeat,Ricin-type beta-trefoil lectin domain-like,2.64
5630,"AIR synthase related protein, C-terminal domain","Oxidoreductase family, NAD-binding Rossmann fold",1.61
5629,"AIR synthase related protein, N-terminal domain","Oxidoreductase family, NAD-binding Rossmann fold",1.61
491,IrrE N-terminal-like domain,Response regulator receiver domain,3.33
19355,Transposase IS116/IS110/IS902 family,zinc-binding in reverse transcriptase,1.79
7509,Intein splicing domain,Primase C terminal 2 (PriCT-2),1.95
4903,SpoU rRNA Methylase family,TruB family pseudouridylate synthase (N terminal domain),1.61
4907,SpoU rRNA Methylase family,tRNA pseudouridylate synthase B C-terminal domain,1.61
10471,"DNA polymerase family B, exonuclease domain",Sigma-54 interaction domain,1.61
10472,DNA polymerase family B,Sigma-54 interaction domain,1.61
3555,Cell Wall Hydrolase,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",1.95
5391,"Alpha amylase, catalytic domain",STIV B116-like,1.39
5681,Putative cell wall binding repeat,Sulfatase-modifying factor enzyme 1,2.83
6941,PAS fold,Periplasmic sensor domain,3.18
12470,DnaB-like helicase N terminal domain,RNB domain,1.95
6889,AsnC-type helix-turn-helix domain,"BT4734-like, N-terminal domain",1.61
8266,Bacterial DNA polymerase III alpha subunit finger domain,CRISPR associated protein Cas1,2.48
8827,"Glycosyl hydrolases family 2, sugar binding domain",O-Glycosyl hydrolase family 30,2.08
4685,IrrE N-terminal-like domain,LapD/MoxY periplasmic domain,2.08
4487,"Bacterial regulatory proteins, luxR family",E1-E2 ATPase,2.48
11794,CHASE domain,GAF domain,3.22
11972,Acetyltransferase (GNAT) domain,HipA N-terminal domain,2.2
11971,Acetyltransferase (GNAT) domain,HipA-like C-terminal domain,2.2
8955,Leucine rich repeat,Thioredoxin,2.2
9720,D5 N terminal like,Protein of unknown function (DUF3991),2.2
9011,"Bifunctional DNA primase/polymerase, N-terminal",Primase C terminal 2 (PriCT-2),2.3
8465,AMIN domain,Domain of unknown function (DUF1287),1.61
2620,Transposase IS66 family,Transposase domain (DUF772),1.79
5925,Dockerin type I domain,Leucine Rich Repeat,2.89
17882,Reverse transcriptase-like,dUTPase,1.61
13203,"Bacterial regulatory protein, Fis family",Peptidase S24-like,1.95
9155,N-terminal domain of anti-restriction factor ArdC,SurA-like N-terminal domain,2.08
3591,Glycosyl hydrolases family 18,Transglycosylase SLT domain,1.95
4093,Deacetylase PdaC,SLBB domain,1.61
4095,Protein of unknown function (DUF3298),SLBB domain,1.61
7403,"CDC6, C terminal winged helix domain",Helix-hairpin-helix containing domain,1.95
13657,GDSL-like Lipase/Acylhydrolase,Neisseria PilC beta-propeller domain,1.61
268,"Leucyl-tRNA synthetase, editing domain",RuvC nuclease domain,2.08
10205,Molybdopterin oxidoreductase Fe4S4 domain,Peptidase M16 inactive domain,1.61
15192,Peptidase M16 inactive domain,Tetratrico peptide repeat,1.61
7531,FIVAR domain,Hydrazine synthase alpha subunit middle domain,2.08
6504,"Bacterial regulatory proteins, tetR family",Methyl-accepting chemotaxis protein (MCP) signalling domain,2.94
6481,Biotin-lipoyl like,"POTRA domain, FtsQ-type",1.61
6482,Biotin-lipoyl like,"Cell division protein FtsQ/DivIB, C-terminal",1.61
14656,Passenger-associated-transport-repeat,Protein of unknown function (DUF3575),1.61
5549,"Alanine racemase, C-terminal domain",Glycosyltransferase Family 4,1.79
5550,"Alanine racemase, N-terminal domain",Glycosyltransferase Family 4,1.79
9052,LysM domain,N terminal of Calcineurin-like phosphoesterase,1.95
3072,Domain of unknown function DUF11,von Willebrand factor type A domain,2.4
8195,CHU_C Type IX secretion signal domain,PKD domain,2.64
19106,7TM receptor with intracellular HD hydrolase,Ankyrin repeats (many copies),1.79
4738,DeoR-like helix-turn-helix domain,Initiation factor 2 subunit family,1.79
5057,Cna protein B-type domain,RHS protein,1.95
6147,Integrase zinc binding domain,Transposase IS116/IS110/IS902 family,2.2
5364,Periplasmic binding proteins and sugar binding domain of LacI family,"Transketolase, thiamine diphosphate binding domain",1.61
5365,Periplasmic binding proteins and sugar binding domain of LacI family,"Transketolase, C-terminal domain",1.61
3202,AAA+ lid domain,RuvB C-terminal winged helix domain,1.61
4389,LPXTG cell wall anchor motif,SdrD B-like domain,2.4
4493,"Bacterial regulatory proteins, luxR family",haloacid dehalogenase-like hydrolase,2.48
9013,Primase C terminal 2 (PriCT-2),Protein of unknown function (DUF3987),2.08
17919,"Poly-adenylate binding protein, unique domain",Tudor domain,1.1
18036,Domain of unknown function (DUF4520),Nucleoporin autopeptidase,1.1
478,Hypothetical glycosyl hydrolase family 13,Pirin,1.1
479,Hypothetical glycosyl hydrolase family 13,Pirin C-terminal cupin domain,1.1
17923,FLYWCH zinc finger domain,Transposase IS4,1.1
17925,DDE_Tnp_1-like zinc-ribbon,FLYWCH zinc finger domain,1.1
6435,Domain of unknown function (DUF1648),Sodium:solute symporter family,1.1
6436,SdpI/YfhL protein family,Sodium:solute symporter family,1.1
8544,Family of unknown function (DUF6600),SPOR domain,1.1
6437,CorA-like Mg2+ transporter protein,Domain of unknown function (DUF1648),1.1
6438,CorA-like Mg2+ transporter protein,SdpI/YfhL protein family,1.1
7747,Family of unknown function (DUF5724),Putative phage serine protease XkdF,1.1
7745,Domain of unknown function (DUF4132),Putative phage serine protease XkdF,1.1
18034,Domain of unknown function (DUF4524),Nucleoporin autopeptidase,1.1
18035,Domain of unknown function (DUF4524),Nuclear protein 96,1.1
5648,"Homoserine dehydrogenase, NAD binding domain","lactate/malate dehydrogenase, alpha/beta C-terminal domain",1.61
314,CW_7 repeat,Pre-toxin TG,1.1
5649,Homoserine dehydrogenase,"lactate/malate dehydrogenase, alpha/beta C-terminal domain",1.61
315,CW_7 repeat,Proteins of 100 residues with WXG,1.1
13056,2'-5' RNA ligase superfamily,CCDC81-like prokaryotic HU domain 2,1.1
2933,"Lethal giant larvae(Lgl) like, C-terminal",Peptidase_C39 like family,1.1
2934,LLGL2,Peptidase_C39 like family,1.1
9154,N-terminal domain of anti-restriction factor ArdC,PPIC-type PPIASE domain,2.08
5639,Homoserine dehydrogenase,"lactate/malate dehydrogenase, NAD binding domain",1.61
19985,CxC5 like cysteine cluster associated with KDZ transposases,Photosynthetic reaction centre protein,1.1
13058,2'-5' RNA ligase superfamily,CCDC81-like prokaryotic HU domain 1,1.1
18037,Domain of unknown function (DUF4520),Nuclear protein 96,1.1
5638,"Homoserine dehydrogenase, NAD binding domain","lactate/malate dehydrogenase, NAD binding domain",1.61
19987,CxC6 like cysteine cluster associated with KDZ transposases,Photosynthetic reaction centre protein,1.1
12510,Helicase C-terminal domain,Reverse transcriptase (RNA-dependent DNA polymerase),2.77
8304,MobA/MobL family,"Schlafen, AlbA_2",1.61
2495,FtsX-like permease family,"Sigma-70 factor, region 1.2",2.08
12341,CBS domain,Transporter associated domain,1.61
16621,PAS domain,Protein of unknown function (DUF3365),2.83
4710,Bacterial Ig-like domain,PKD domain,2.48
6998,GAD domain,PP-loop family,1.61
6999,PP-loop family,"tRNA synthetases class II (D, K and N)",1.61
2343,Mucin binding domain,YSIRK type signal peptide,1.61
2330,Muc B2-like domain,YSIRK type signal peptide,1.61
4572,AAA ATPase domain,ATPase family associated with various cellular activities (AAA),2.4
3338,DnaB-like helicase C terminal domain,Putative ATP-dependent DNA helicase recG C-terminal,2.3
3043,G5-linked-Ubiquitin-like domain,"L,D-transpeptidase catalytic domain",1.61
1780,Type II/IV secretion system protein,UvrD-like helicase C-terminal domain,2.2
2754,"Bacterial extracellular solute-binding proteins, family 3","Diguanylate cyclase, GGDEF domain",3.14
12330,CRISPR-associated (Cas) DxTHG family,Putative CRISPR-associated protein (Cas_VVA1548),1.61
13884,Fibrobacter succinogenes major domain (Fib_succ_major),PKD-like domain,1.95
8130,"Glutamyl-tRNAGlu reductase, dimerisation domain","Helix-turn-helix domain, rpiR family",1.61
1810,D-alanyl-D-alanine carboxypeptidase,"Prolyl oligopeptidase, N-terminal beta-propeller domain",1.61
6691,C-terminal repeat of topoisomerase,DNA polymerase III subunits gamma and tau domain III,1.61
177,"DNA polymerase III, delta subunit",Peptidase family M41,1.95
1308,Nucleotidyltransferase domain,PRD domain,1.79
884,CHC2 zinc finger,Toprim domain,2.48
14546,Domain of unknown function (DUF1887),Glutamine amidotransferase domain,1.95
4947,Subtilase family,WD40-like Beta Propeller Repeat,2.77
16245,D-alanyl-D-alanine carboxypeptidase,"Penicillin-binding protein 5, C-terminal domain",1.95
9892,Tetratricopeptide repeat,Uncharacterized protein conserved in bacteria (DUF2179),2.4
12147,Bacterial Ig domain,Nidogen-like,2.2
13864,Cadherin domain,SprB repeat,1.95
41,Collagen triple helix repeat (20 copies),Extended Signal Peptide of Type V secretion system,2.48
1571,R3H domain,Transposase IS116/IS110/IS902 family,2.4
1756,Sodium/hydrogen exchanger family,Voltage gated chloride channel,1.61
8434,N-acetylmuramoyl-L-alanine amidase,"WD domain, G-beta repeat",2.4
9553,RNA 2'-O ribose methyltransferase substrate binding,tRNA (Uracil-5-)-methyltransferase,1.61
3738,Bacterial Ig-like domain (group 3),C-lobe handle domain of Tf-binding protein B,1.61
3732,Bacterial Ig-like domain (group 3),C-lobe and N-lobe beta barrels of Tf-binding protein B,1.61
3274,Domain of unknown function (DUF4143),PD-(D/E)XK nuclease superfamily,2.48
6880,AsnC-type helix-turn-helix domain,Lrp/AsnC ligand binding domain,1.79
4088,Helicase C-terminal domain,"Type III restriction enzyme, res subunit",2.77
1377,BspA type Leucine rich repeat region (6 copies),Putative Ig domain,3.04
2463,BspA type Leucine rich repeat region (6 copies),Domain of unknown function DUF11,3.04
17839,2Fe-2S iron-sulfur cluster binding domain,"ATP synthase, Delta/Epsilon chain, long alpha-helix domain",1.61
17840,2Fe-2S iron-sulfur cluster binding domain,"ATP synthase, Delta/Epsilon chain, beta-sandwich domain",1.61
7856,Divergent InlB B-repeat domain,Low-density lipoprotein receptor repeat class B,1.95
570,"DNA polymerase III beta subunit, central domain","Galactose-1-phosphate uridyl transferase, C-terminal domain",1.95
576,"DNA polymerase III beta subunit, central domain","Galactose-1-phosphate uridyl transferase, N-terminal domain",1.95
577,"DNA polymerase III beta subunit, C-terminal domain","Galactose-1-phosphate uridyl transferase, N-terminal domain",1.95
571,"DNA polymerase III beta subunit, C-terminal domain","Galactose-1-phosphate uridyl transferase, C-terminal domain",1.95
3079,Glutaminase/Asparaginase C-terminal domain,Periplasmic binding proteins and sugar binding domain of LacI family,1.61
3080,"Asparaginase, N-terminal",Periplasmic binding proteins and sugar binding domain of LacI family,1.61
15433,CHU_C Type IX secretion signal domain,Ig-like domain CHU_C associated,2.2
2995,Domain of unknown function DUF11,Listeria-Bacteroides repeat domain (List_Bact_rpt),2.77
7656,Bacterial dipeptidyl-peptidase Sh3 domain,"Polysaccharide lyase family 8, C-terminal beta-sandwich domain",1.61
7658,Bacterial dipeptidyl-peptidase Sh3 domain,"Polysaccharide lyase family 8, super-sandwich domain",1.61
7657,Bacterial dipeptidyl-peptidase Sh3 domain,"Polysaccharide lyase family 8, N terminal alpha-helical domain",1.61
1468,Chitin recognition protein,Cysteine-rich secretory protein family,2.2
5248,Cellulose or protein binding domain,NlpC/P60 family,2.4
3442,AAA domain,D5 N terminal like,3.18
3573,Domain of unknown function (DUF4982),"Membrane-bound lytic murein transglycosylase C, N-terminal domain",1.95
19928,Cupin,NB-ARC domain,1.61
7432,CRISPR associated protein Cas1,PD-(D/E)XK nuclease superfamily,2.89
8354,MarR family,WYL domain,2.2
6052,LPXTG cell wall anchor motif,von Willebrand factor type A domain,2.56
7547,F5/8 type C domain,WD40-like Beta Propeller Repeat,2.48
3647,AAA domain,Ribonuclease B OB domain,2.71
6711,"Sigma-70 factor, region 1.2",Sigma-70 region 3,1.95
11974,Acetyltransferase (GNAT) domain,GCN5-related N-acetyl-transferase,1.61
11973,Acetyltransferase (GNAT) domain,Family of unknown function (DUF5996),1.61
4026,Probable transposase,Transposase IS116/IS110/IS902 family,2.64
692,Family of unknown function (DUF5906),Mrr N-terminal domain,1.95
691,Family of unknown function (DUF5906),"HB1, ASXL, restriction endonuclease HTH domain",1.95
5581,ORF6C domain,ORF6N domain,1.39
16366,P22AR C-terminal domain,Phage regulatory protein Rha (Phage_pRha),1.39
11193,Jag N-terminus,"Protein adenylyltransferase SoFic-like, C-terminal domain",1.95
15885,AMIN domain,Serpin (serine protease inhibitor),1.61
20208,Ankyrin repeats (many copies),Mechanosensitive ion channel porin domain,1.95
20209,Ankyrin repeats (many copies),Mechanosensitive ion channel inner membrane domain 1,1.95
10981,"FecR, C-terminal",Protein of unknown function (DUF1612),1.61
10982,"FecR, C-terminal",HTH DNA binding domain,1.61
15389,Homoserine dehydrogenase,[2Fe-2S] binding domain,1.61
15385,"Homoserine dehydrogenase, NAD binding domain",[2Fe-2S] binding domain,1.61
1000,DHH family,Riboflavin kinase,1.95
1006,DHH family,FAD synthetase,1.95
14402,PPR repeat,TniQ,1.95
14403,PPR repeat family,TniQ,1.95
7460,Carboxypeptidase regulatory-like domain,YNCE-like beta-propeller,1.61
11801,PAS fold,Protein similar to CwfJ C-terminus 2,2.89
11799,PAS fold,Protein similar to CwfJ C-terminus 1,2.89
2823,Bacterial alpha-L-rhamnosidase concanavalin-like domain,Glycosyl hydrolase family 31 C-terminal domain,1.79
2843,Bacterial alpha-L-rhamnosidase C-terminal domain,Glycosyl hydrolase family 31 C-terminal domain,1.79
1315,"Aminoglycoside adenylyltransferase, C-terminal domain","Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2",1.61
11259,ATP-NAD kinase C-terminal domain,Diacylglycerol kinase catalytic domain,1.61
11260,ATP-NAD kinase C-terminal domain,YegS C-terminal NAD kinase beta sandwich-like domain,1.61
11261,ATP-NAD kinase N-terminal domain,Diacylglycerol kinase catalytic domain,1.61
11262,ATP-NAD kinase N-terminal domain,YegS C-terminal NAD kinase beta sandwich-like domain,1.61
188,ATPase family associated with various cellular activities (AAA),"Translation initiation factor IF-3, N-terminal domain",1.95
8129,"Glutamyl-tRNAGlu reductase, dimerisation domain",SIS domain,1.61
12408,Glycoside hydrolase 97,N-acetylmuramoyl-L-alanine amidase,1.95
5945,Autotransporter beta-domain,"Copper binding proteins, plastocyanin/azurin family",2.08
12400,"Glycosyl-hydrolase 97 C-terminal, oligomerisation",N-acetylmuramoyl-L-alanine amidase,1.95
2802,AAA domain,FtsK/SpoIIIE family,2.3
5730,DeoR-like helix-turn-helix domain,MarR family,1.95
4097,Bacterial SH3 domain,Putative cell wall binding repeat,2.83
2527,AAA lid domain,"CDC6, C terminal winged helix domain",2.08
13969,Glycosyl hydrolases family 11,WD40-like Beta Propeller Repeat,2.3
6875,Domain of unknonw function from B. Theta Gene description (DUF3874),Lrp/AsnC ligand binding domain,1.61
4737,DeoR-like helix-turn-helix domain,Phosphotransferase enzyme family,1.79
8545,D5 N terminal like,Winged helix-turn-helix DNA-binding,2.2
8816,Carbohydrate binding domain,F5/8 type C domain,2.2
11985,"Group II intron, maturase-specific domain",N-terminal domain of reverse transcriptase,1.61
650,PA14 domain,Putative cell wall binding repeat,2.4
5621,Reverse transcriptase (RNA-dependent DNA polymerase),"tRNA synthetases class I (E and Q), catalytic domain",2.56
5613,Anticodon binding domain,Reverse transcriptase (RNA-dependent DNA polymerase),2.56
1576,Family of unknown function (DUF5684),"Initiator Rep protein, WH2",2.2
1581,Family of unknown function (DUF5684),"Initiator Replication protein, WH1",2.2
1580,"Initiator Replication protein, WH1","Signal peptidase, peptidase S26",2.2
1575,"Initiator Rep protein, WH2","Signal peptidase, peptidase S26",2.2
4051,Diaminopimelate epimerase,Domain of unknown function (DUF1887),1.61
17253,"Bacterial regulatory proteins, gntR family",Transcription factor AFT,1.79
1730,IrrE N-terminal-like domain,Stage II sporulation protein E N-terminal,1.95
15117,Family of unknown function (DUF5906),Ftsk gamma domain,1.79
1165,CRISPR-associated protein Cse1 (CRISPR_cse1),DEAD/DEAH box helicase,3.04
4840,Carbohydrate binding module 77,PA domain,1.61
11352,"Glycoside hydrolase 123, catalytic domain",Trypsin-like peptidase domain,1.61
2650,Divergent InlB B-repeat domain,Putative cell wall binding repeat,3.43
744,CHAP domain,Peptidase family M23,1.95
4276,DEAD/DEAH box helicase,"Uncharacterised protein, DegV family COG1307",2.94
6751,Bacterial Ig domain,RTX calcium-binding nonapeptide repeat (4 copies),2.71
734,Glycosyl hydrolases family 25,Transglycosylase SLT domain,2.3
1005,DHHA1 domain,FAD synthetase,1.95
999,DHHA1 domain,Riboflavin kinase,1.95
2558,"CRISPR-associated protein Cas6, N-terminal",Cas6 N-terminal domain,2.08
3339,DnaB-like helicase C terminal domain,"Schlafen, AlbA_2",2.2
10681,"POTRA domain, ShlB-type",Peptide methionine sulfoxide reductase,1.1
11539,TraC protein,Type IV secretory system Conjugative DNA transfer,1.1
11541,Family of unknown function (DUF5934),Type IV secretory system Conjugative DNA transfer,1.1
10680,Haemolysin secretion/activation protein ShlB/FhaC/HecB,Peptide methionine sulfoxide reductase,1.1
13041,EF-hand domain pair,Protein of unknown function (DUF1104),1.1
5753,CRISPR-associated protein (Cas_Csd1),CRISPR-associated protein Cas7,1.1
11543,TraG P-loop domain,Type IV secretory system Conjugative DNA transfer,1.1
8300,Putative ATP-dependent DNA helicase recG C-terminal,Ribonuclease B OB domain,2.08
8327,ABC transporter transmembrane region,Fic/DOC family,2.08
9946,CRISPR-associated (Cas) DxTHG family,Glycerophosphoryl diester phosphodiesterase family,1.61
3049,3D domain,"L,D-transpeptidase catalytic domain",1.61
3621,Autochaperone Domain Type 1,Secretion system C-terminal sorting domain,2.3
18652,Ammonium Transporter Family,Polysaccharide biosynthesis C-terminal domain,1.39
8537,Ammonium Transporter Family,MatE,1.39
5885,LysM domain,Trypsin,1.95
1864,Replication initiation and membrane attachment,Winged helix-turn-helix DNA-binding,1.61
3733,Bacterial Ig-like domain,C-lobe and N-lobe beta barrels of Tf-binding protein B,1.61
3739,Bacterial Ig-like domain,C-lobe handle domain of Tf-binding protein B,1.61
16821,CotH kinase protein,PapC C-terminal domain,1.61
1538,Cysteine-rich secretory protein family,Lectin like domain,1.95
89,Cna protein B-type domain,RTX calcium-binding nonapeptide repeat (4 copies),2.4
8654,Insulinase (Peptidase family M16),Thioesterase domain,1.61
11194,Fic/DOC family N-terminal,Jag N-terminus,1.95
2272,Bacterial Ig-like domain (group 2),FIVAR domain,2.89
11969,Acetyltransferase (GNAT) domain,Molydopterin dinucleotide binding domain,1.61
