,Unnamed: 0,Label1,Label2,Count,Total_Label_1,Total_Label_2,p_value,p_value_fdr,Count_normalized
6500,6500,Carbohydrate kinase,GHMP kinases C terminal,6,40,88,6.436342100420111e-14,1.3862942251081936e-12,1.95
6499,6499,GHMP kinases C terminal,YjeF-related protein N-terminus,6,88,40,6.436342100420111e-14,1.3862942251081936e-12,1.95
1321,1321,CRISPR associated protein Cas1,UvrD/REP helicase N-terminal domain,29,1386,601,6.476901913367344e-14,1.3935785729729093e-12,3.4
1263,1263,Acetyltransferase (GNAT) domain,Peptidase M16 inactive domain,8,157,98,6.926677269662497e-14,1.4888035956841108e-12,2.2
16536,16536,"Glycosyl hydrolase family 65, C-terminal domain",HipA-like C-terminal domain,6,12,351,7.139285388955036e-14,1.524989710613877e-12,1.95
16535,16535,"Glycoside hydrolase family 95, C-terminal domain",HipA-like C-terminal domain,6,12,351,7.139285388955036e-14,1.524989710613877e-12,1.95
16534,16534,"Glycosyl hydrolase family 65, N-terminal domain",HipA N-terminal domain,6,12,351,7.139285388955036e-14,1.524989710613877e-12,1.95
16533,16533,"Glycosyl hydrolase family 65, C-terminal domain",HipA N-terminal domain,6,12,351,7.139285388955036e-14,1.524989710613877e-12,1.95
16532,16532,"Glycoside hydrolase family 95, C-terminal domain",HipA N-terminal domain,6,12,351,7.139285388955036e-14,1.524989710613877e-12,1.95
16537,16537,"Glycosyl hydrolase family 65, N-terminal domain",HipA-like C-terminal domain,6,12,351,7.139285388955036e-14,1.524989710613877e-12,1.95
604,604,MarR family,R3H domain,12,115,681,7.248843611352825e-14,1.5467940077599829e-12,2.56
564,564,CRISPR-Cas9 PI domain,PAM-interacting domain of CRISPR-associated endonuclease Cas9,63,1029,3496,7.332214065505479e-14,1.5629710333242969e-12,4.16
2220,2220,"Gram-positive pilin backbone subunit 2, Cna-B-like domain",Ig-like domain from next to BRCA1 gene,6,114,32,7.477109091588658e-14,1.592216114178977e-12,1.95
10147,10147,Acetyltransferase (GNAT) family,Acyl-ACP thioesterase N-terminal domain,5,50,24,7.906679437773257e-14,1.6802303261545492e-12,1.79
10148,10148,Acetyltransferase (GNAT) family,Acyl-ACP thioesterase C-terminal domain,5,50,24,7.906679437773257e-14,1.6802303261545492e-12,1.79
6056,6056,C-terminus of bacterial fibrinogen-binding adhesin,Prealbumin-like fold domain,10,60,694,8.218208302431958e-14,1.742221218160885e-12,2.4
3630,3630,"Iron dependent repressor, metal binding and dimerisation domain",TolA binding protein trimerisation,7,92,90,8.223668370290775e-14,1.742221218160885e-12,2.08
3631,3631,"Iron dependent repressor, N-terminal DNA binding domain",TolA binding protein trimerisation,7,92,90,8.223668370290775e-14,1.742221218160885e-12,2.08
6176,6176,"Mu DNA binding, I gamma subdomain",Probable transposase,12,58,1430,8.268812198603443e-14,1.7499921169961452e-12,2.56
8899,8899,CRISPR-associated protein (Cas_Cas02710),Methyltransferase domain,8,282,57,8.544597026432347e-14,1.806509536968728e-12,2.2
5054,5054,Cna protein B-type domain,RHS Repeat,12,339,231,8.752771084153128e-14,1.8486317436877857e-12,2.56
3031,3031,LysR substrate binding domain,UvrD/REP helicase N-terminal domain,20,589,601,9.248396931291781e-14,1.9493282706250776e-12,3.04
3030,3030,"Bacterial regulatory helix-turn-helix protein, lysR family",UvrD/REP helicase N-terminal domain,20,589,601,9.248396931291781e-14,1.9493282706250776e-12,3.04
6575,6575,Adenylate and Guanylate cyclase catalytic domain,PAS domain,27,212,3511,9.327485745256663e-14,1.9639961583978816e-12,3.33
14318,14318,Domain of unknown function (DUF4328),RDD family,4,8,34,9.64405840464158e-14,2.026526378381849e-12,1.61
11314,11314,Protein of unknown function (DUF805),Type II CAAX prenyl endopeptidase Rce1-like,4,34,8,9.644058404641579e-14,2.026526378381849e-12,1.61
11529,11529,Bacterial type II and III secretion system protein,Pilin (bacterial filament),6,40,94,9.660161051503678e-14,2.027849239207529e-12,1.95
5582,5582,ORF6C domain,P22_AR N-terminal domain,5,57,22,9.679458444895525e-14,2.029839373885444e-12,1.79
13445,13445,Bacterial TSP3 repeat,Nidogen-like,8,217,75,1.0372827736291891e-13,2.17303909932429e-12,2.2
6571,6571,PAS domain,"Protein of unknown function, DUF594",21,3511,121,1.0733571925107549e-13,2.2440653862027178e-12,3.09
6570,6570,Domain of unknown function (DUF4220),PAS domain,21,121,3511,1.0733571925107549e-13,2.2440653862027178e-12,3.09
6686,6686,"DNA polymerase III, delta subunit",Toprim domain,11,167,353,1.0947399328982143e-13,2.2864583426804417e-12,2.48
3541,3541,Cyclic nucleotide-binding domain,Zincin-like metallopeptidase,10,201,206,1.14906166819991e-13,2.397492241510549e-12,2.4
10938,10938,Transposase C of IS166 homeodomain,Transposase IS66 family,7,66,132,1.1512336872527376e-13,2.3996027168674243e-12,2.08
2907,2907,Ferric iron reductase FhuF-like transporter,SurA-like N-terminal domain,7,62,141,1.1657659521445352e-13,2.4250042849590093e-12,2.08
2908,2908,FhuF 2Fe-2S C-terminal domain,SurA-like N-terminal domain,7,62,141,1.1657659521445352e-13,2.4250042849590093e-12,2.08
14548,14548,Glutamine amidotransferase domain,Putative CRISPR-associated protein (Cas_VVA1548),6,90,43,1.1725647326094806e-13,2.4366955754940936e-12,1.95
7062,7062,"Group II intron, maturase-specific domain",impB/mucB/samB family C-terminal domain,7,123,71,1.1844942983110466e-13,2.459014920298946e-12,2.08
8376,8376,AMP-binding enzyme C-terminal domain,Phosphopantetheine attachment site,8,119,138,1.1926770186160434e-13,2.473518827876021e-12,2.2
15482,15482,CBS domain,Transcription factor AFT,6,132,30,1.2014524743237004e-13,2.4892217246083324e-12,1.95
9010,9010,"DNA primase catalytic core, N-terminal domain",Primase C terminal 2 (PriCT-2),11,299,199,1.2395065352094341e-13,2.565493156008556e-12,2.48
6108,6108,CT1975-like protein,"Cas3, HD domain",20,65,6232,1.2576971955698294e-13,2.600540491279736e-12,3.04
9902,9902,Domain of unknown function (DUF5698),TPR repeat,8,38,459,1.2943182779096984e-13,2.6735883149189644e-12,2.2
190,190,ATPase family associated with various cellular activities (AAA),"DNA polymerase III delta subunit, C-terminal domain",9,430,66,1.3689728497670538e-13,2.822158685407116e-12,2.3
5150,5150,NAD-dependent DNA ligase adenylation domain,"Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain",4,37,8,1.3733516445184285e-13,2.825551438179855e-12,1.61
5149,5149,NAD-dependent DNA ligase OB-fold domain,"Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain",4,37,8,1.3733516445184285e-13,2.825551438179855e-12,1.61
2898,2898,Ferric iron reductase FhuF-like transporter,PPIC-type PPIASE domain,7,62,145,1.422321659202274e-13,2.920491057331224e-12,2.08
2899,2899,FhuF 2Fe-2S C-terminal domain,PPIC-type PPIASE domain,7,62,145,1.422321659202274e-13,2.920491057331224e-12,2.08
715,715,D5 N terminal like,Poxvirus D5 protein-like,14,482,279,1.448481599203966e-13,2.971255359795675e-12,2.71
346,346,Helicase conserved C-terminal domain,"Type I restriction enzyme HindI endonuclease subunit-like, C-terminal",26,8058,93,1.516242191997478e-13,3.104093049894243e-12,3.3
347,347,Helicase conserved C-terminal domain,SWI2/SNF2 ATPase,26,8058,93,1.516242191997478e-13,3.104093049894243e-12,3.3
6604,6604,Adenylate and Guanylate cyclase catalytic domain,His Kinase A (phospho-acceptor) domain,30,212,4527,1.5776486640816072e-13,3.226611417133075e-12,3.43
444,444,Histidine kinase,Recombinase,26,960,708,1.6041211155885305e-13,3.27751109753202e-12,3.3
11389,11389,NHL repeat,Secretion system C-terminal sorting domain,14,100,1403,1.633738708290107e-13,3.33473003665494e-12,2.71
5576,5576,GTP-binding protein TrmE N-terminus,SHS2 domain inserted in FTSA,5,84,17,1.6764786952142317e-13,3.4152265991078488e-12,1.79
5573,5573,Cell division protein FtsA,GTP-binding protein TrmE N-terminus,5,17,84,1.6764786952142317e-13,3.4152265991078488e-12,1.79
7066,7066,"Group II intron, maturase-specific domain",impB/mucB/samB family,7,123,75,1.7635762544785813e-13,3.589120690339924e-12,2.08
15568,15568,"Bifunctional DNA primase/polymerase, N-terminal",Protein of unknown function (DUF3320),6,408,12,1.7686211447258953e-13,3.5923162484771448e-12,1.95
15567,15567,"Bifunctional DNA primase/polymerase, N-terminal",REase_MTES_1575,6,408,12,1.7686211447258953e-13,3.5923162484771448e-12,1.95
2469,2469,Cysteine-rich secretory protein family,Prokaryotic N-terminal methylation motif,13,318,340,1.782682329765743e-13,3.613776718879045e-12,2.64
8377,8377,AMP-binding enzyme,Phosphopantetheine attachment site,8,125,138,1.781380912619849e-13,3.613776718879045e-12,2.2
6171,6171,"Mu DNA binding, I gamma subdomain",Putative transposase DNA-binding domain,12,58,1528,1.7922459366792138e-13,3.629605213782184e-12,2.56
413,413,E1-E2 ATPase,Response regulator receiver domain,30,230,4193,1.999410382796969e-13,4.045186740224356e-12,3.43
1432,1432,Apolipoprotein N-acyltransferase N-terminal domain,Radical SAM superfamily,8,42,439,2.1682769387536707e-13,4.37399631830338e-12,2.2
1433,1433,Carbon-nitrogen hydrolase,Radical SAM superfamily,8,42,439,2.1682769387536707e-13,4.37399631830338e-12,2.2
3619,3619,Dockerin type I domain,Secretion system C-terminal sorting domain,28,579,1403,2.207209105373034e-13,4.448193242865324e-12,3.37
7371,7371,Cellulase (glycosyl hydrolase family 5),Phage lysozyme,6,65,66,2.313274998934987e-13,4.657408680913215e-12,1.95
2529,2529,Bacterial dnaA  protein,"CDC6, C terminal winged helix domain",8,78,231,2.376025092786676e-13,4.779092494508765e-12,2.2
13471,13471,"Diguanylate cyclase, GGDEF domain",Protein of unknown function (DUF3365),19,2991,115,2.448968783934215e-13,4.921023085073639e-12,3.0
122,122,Bacterial Ig-like domain (group 2),Leucine Rich Repeat,26,916,756,2.4570459109675304e-13,4.932460029230643e-12,3.3
5242,5242,BED zinc finger,"Bacterial regulatory proteins, gntR family",9,84,357,2.4798335153173325e-13,4.973377070438069e-12,2.3
4752,4752,Flagellar hook-associated protein 2 N-terminus,Prokaryotic N-terminal methylation motif,7,30,340,2.497030163595902e-13,4.998169670152224e-12,2.08
4772,4772,Flagellar hook-associated protein 2 C-terminus,Prokaryotic N-terminal methylation motif,7,30,340,2.497030163595902e-13,4.998169670152224e-12,2.08
127,127,Bacterial Ig-like domain (group 2),"Mycoplasma protein of unknown function, DUF285",27,916,823,2.575389336230191e-13,5.150031460854124e-12,3.33
4935,4935,Dockerin type I domain,Leucine Rich repeats (2 copies),15,579,298,2.598787894771974e-13,5.191800705333343e-12,2.77
14349,14349,Domain of unknown function (DUF1887),Family of unknown function (DUF6293),7,226,44,2.604834866128476e-13,5.198858158970896e-12,2.08
6416,6416,D5 N terminal like,Protein of unknown function (DUF3987),12,482,179,2.623740647937599e-13,5.2315415021606295e-12,2.56
381,381,PRC-barrel domain,RimM N-terminal domain,4,18,18,2.78070366368596e-13,5.5391724136834865e-12,1.61
3314,3314,Imidazoleglycerol-phosphate dehydratase,Methyltransferase small domain,4,8,44,2.822455632891235e-13,5.611530300124236e-12,1.61
3309,3309,Imidazoleglycerol-phosphate dehydratase,Methyltransferase small domain N-terminal,4,8,44,2.822455632891235e-13,5.611530300124236e-12,1.61
3530,3530,Crp-like helix-turn-helix domain,N-terminal domain of anti-restriction factor ArdC,10,185,246,2.9438031866635453e-13,5.847167962597705e-12,2.4
609,609,Binding-protein-dependent transport system inner membrane component,Jag N-terminus,10,100,461,2.9501249611741893e-13,5.8541011345680144e-12,2.4
4574,4574,ATPase family associated with various cellular activities (AAA),Helix-hairpin-helix domain,10,430,107,2.9616568465081033e-13,5.871349819295114e-12,2.4
129,129,Bacterial Ig-like domain (group 2),Calx-beta domain,20,916,413,2.997753690088431e-13,5.93721772509181e-12,3.04
1863,1863,ROS/MUCR transcriptional regulator protein,Replication initiation and membrane attachment,4,12,28,3.009880174439194e-13,5.955530370036289e-12,1.61
906,906,PPR repeat,PPR repeat family,6,67,67,3.0669742824730144e-13,6.062698588785325e-12,1.95
1884,1884,Choline-binding repeat,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,21,1581,273,3.138077061769093e-13,6.1973275459598395e-12,3.09
2292,2292,Divergent InlB B-repeat domain,Listeria-Bacteroides repeat domain (List_Bact_rpt),32,1034,1051,3.19373532546849e-13,6.301227607319844e-12,3.5
15136,15136,Domain of unknown function (DUF4153),Polysaccharide biosynthesis C-terminal domain,4,8,46,3.392718524998429e-13,6.687439555900144e-12,1.61
5540,5540,"Alanine racemase, N-terminal domain",Glycosyl transferases group 1,7,34,316,3.920044908600806e-13,7.704825910184301e-12,2.08
5539,5539,"Alanine racemase, C-terminal domain",Glycosyl transferases group 1,7,34,316,3.920044908600806e-13,7.704825910184301e-12,2.08
412,412,Response regulator receiver domain,haloacid dehalogenase-like hydrolase,30,4193,236,3.949356728381264e-13,7.755066388674207e-12,3.43
13885,13885,Bacterial lectin,PKD-like domain,8,97,198,4.1510728217823234e-13,8.143428153320027e-12,2.2
17826,17826,Protein of unknown function (DUF 659),TPR repeat,9,70,459,4.271475688390285e-13,8.363759735686166e-12,2.3
2140,2140,Choline-binding repeat,OmpA family,22,1581,310,4.3905234379975324e-13,8.58872782662961e-12,3.14
7576,7576,"Cation transporter/ATPase, N-terminus",PAS fold,23,129,4419,4.61953766996118e-13,9.028183402815435e-12,3.18
67,67,Homoserine dehydrogenase,"Orn/Lys/Arg decarboxylase, major domain",6,110,44,4.650629411776269e-13,9.05471415699604e-12,1.95
77,77,"Homoserine dehydrogenase, NAD binding domain","Orn/Lys/Arg decarboxylase, C-terminal domain",6,110,44,4.650629411776269e-13,9.05471415699604e-12,1.95
65,65,"Homoserine dehydrogenase, NAD binding domain","Orn/Lys/Arg decarboxylase, major domain",6,110,44,4.650629411776269e-13,9.05471415699604e-12,1.95
79,79,Homoserine dehydrogenase,"Orn/Lys/Arg decarboxylase, C-terminal domain",6,110,44,4.650629411776269e-13,9.05471415699604e-12,1.95
3886,3886,Bacterial trigger factor protein (TF),Bacterial trigger factor protein (TF) C-terminus,8,131,149,4.859584989773992e-13,9.452647115104124e-12,2.2
351,351,Choline-binding repeat,SusD family,18,1581,191,4.87982738079704e-13,9.474196314811303e-12,2.94
354,354,Choline-binding repeat,Starch-binding associating with outer membrane,18,1581,191,4.87982738079704e-13,9.474196314811303e-12,2.94
437,437,Reverse transcriptase (RNA-dependent DNA polymerase),Transposase,23,1632,335,4.949503491203219e-13,9.591460514302619e-12,3.18
666,666,Choline-binding repeat,Ricin-type beta-trefoil lectin domain-like,17,1581,165,5.015388293811904e-13,9.710035931755499e-12,2.89
14455,14455,Prokaryotic N-terminal methylation motif,Protein of unknown function (DUF1559),6,340,16,5.071360345880581e-13,9.809215890717752e-12,1.95
6502,6502,Domain of unknown function (DUF1887),GHMP kinases C terminal,8,226,88,5.400221818185165e-13,1.0425806399123684e-11,2.2
6492,6492,Domain of unknown function (DUF1887),GHMP kinases N terminal domain,8,226,88,5.400221818185165e-13,1.0425806399123684e-11,2.2
4190,4190,"ADDB, N-terminal",UvrD-like helicase C-terminal domain,13,125,967,5.708152954113485e-13,1.1010025991810123e-11,2.64
2159,2159,Helicase conserved C-terminal domain,SNF2-related domain,29,8058,122,5.868931300404438e-13,1.1309589235644224e-11,3.4
2301,2301,T-Q ester bond containing domain,Thioester domain,8,174,115,5.896469757966983e-13,1.1352076832912783e-11,2.2
9893,9893,Domain of unknown function (DUF5698),Tetratricopeptide repeat,10,38,1407,6.082472398000117e-13,1.1688409086751712e-11,2.4
4762,4762,Flagellin hook IN motif,Prokaryotic N-terminal methylation motif,7,34,340,6.552939055920983e-13,1.2569120673402427e-11,2.08
4332,4332,ATP-dependent RecD-like DNA helicase SH3 domain,UvrD/REP helicase N-terminal domain,10,84,601,6.713408250184626e-13,1.2864980758949723e-11,2.4
3529,3529,Cyclic nucleotide-binding domain,N-terminal domain of anti-restriction factor ArdC,10,201,246,6.745385649617197e-13,1.291429065529026e-11,2.4
1147,1147,BspA type Leucine rich repeat region (6 copies),YDG domain,18,1981,157,6.92040265532083e-13,1.3237110610922184e-11,2.94
15405,15405,WS/DGAT C-terminal domain,Wax ester synthase/diacylglycerol acyltransferase catalytic domain,4,20,20,6.969084698162603e-13,1.331790797633162e-11,1.61
1317,1317,CRISPR associated protein Cas1,UvrD-like helicase C-terminal domain,35,1386,967,7.554097300798669e-13,1.4422536462475907e-11,3.58
4000,4000,Ion channel,Periplasmic binding protein-like domain,7,50,230,7.630389997705857e-13,1.4554757747469004e-11,2.08
2204,2204,Ig-like domain from next to BRCA1 gene,Prealbumin-like fold domain,8,32,694,7.6441557866162e-13,1.4567576884780014e-11,2.2
6363,6363,Metallo-beta-lactamase superfamily,"Sigma-70, region 4",14,114,1376,8.015350363957281e-13,1.526090234581443e-11,2.71
1492,1492,"Initiator Replication protein, WH1",Peptidase family S41,18,4247,78,8.129345669062065e-13,1.5449492683749662e-11,2.94
1491,1491,"Initiator Rep protein, WH2",Peptidase family S41,18,4247,78,8.129345669062065e-13,1.5449492683749662e-11,2.94
15395,15395,16S rRNA methyltransferase RsmB/F,NusB family,4,14,30,8.144113429207461e-13,1.5463345580874443e-11,1.61
19250,19250,Leucine Rich Repeat,Ubiquitin family,8,756,30,8.462814223484377e-13,1.6053725660457475e-11,2.2
414,414,Heavy-metal-associated domain,Response regulator receiver domain,17,69,4193,9.032524512403962e-13,1.7118745127678895e-11,2.89
6143,6143,Domain of unknown function (DUF1508),Integrase zinc binding domain,7,37,325,9.092233813751534e-13,1.721612807389565e-11,2.08
4183,4183,Poxvirus D5 protein-like,Virulence-associated protein E-like domain,9,279,123,9.136218883900988e-13,1.7283586263716443e-11,2.3
11189,11189,"KhpA/KhpB, KH domain",Ribonuclease-III-like,9,613,58,9.532867194269148e-13,1.800101323980851e-11,2.3
11190,11190,Double-stranded RNA binding motif,"KhpA/KhpB, KH domain",9,58,613,9.532867194269148e-13,1.800101323980851e-11,2.3
4266,4266,4Fe-4S single cluster domain,NUDIX domain,10,327,157,9.56002553083314e-13,1.8035825538415767e-11,2.4
1232,1232,Conserved region in glutamate synthase,FAD synthetase,6,42,130,9.597326947451976e-13,1.8040357208405864e-11,1.95
1233,1233,FAD synthetase,Glutamate synthase central domain,6,130,42,9.597326947451976e-13,1.8040357208405864e-11,1.95
1245,1245,Conserved region in glutamate synthase,Riboflavin kinase,6,42,130,9.597326947451976e-13,1.8040357208405864e-11,1.95
1246,1246,Glutamate synthase central domain,Riboflavin kinase,6,42,130,9.597326947451976e-13,1.8040357208405864e-11,1.95
5197,5197,"Helix-turn-helix domain, rpiR family",TnsA-like endonuclease N terminal,8,106,202,1.0082244813298266e-12,1.8894621473227968e-11,2.2
4748,4748,DeoR-like helix-turn-helix domain,Probable RNA and SrmB- binding site of polymerase A,8,191,112,1.0072808511592074e-12,1.8894621473227968e-11,2.2
5198,5198,"Helix-turn-helix domain, rpiR family",TnsA endonuclease C terminal,8,106,202,1.0082244813298266e-12,1.8894621473227968e-11,2.2
537,537,Bacterial Ig domain,BspA type Leucine rich repeat region (6 copies),38,801,1981,1.0088340719854755e-12,1.8894621473227968e-11,3.66
6150,6150,Domain of unknown function (DUF1508),RNase H-like domain found in reverse transcriptase,7,37,331,1.033694814262841e-12,1.934272187738712e-11,2.08
12149,12149,Bacterial Ig domain,CHU_C Type IX secretion signal domain,20,801,508,1.1591526827220613e-12,2.1670705262788483e-11,3.04
6884,6884,Lrp/AsnC ligand binding domain,Protein of unknown function (DUF3987),8,122,179,1.1986643973298646e-12,2.238914520649468e-11,2.2
145,145,Family of unknown function (DUF6017),Replication initiation and membrane attachment,5,72,28,1.2032068214580636e-12,2.2453707082390234e-11,1.79
14675,14675,Domain of Unknown Function (DUF1542),FIVAR domain,7,25,523,1.2176565708470464e-12,2.2702871880436768e-11,2.08
6749,6749,CHU_C Type IX secretion signal domain,RTX calcium-binding nonapeptide repeat (4 copies),15,508,378,1.2222439441059394e-12,2.276787210115181e-11,2.77
3435,3435,"DNA primase catalytic core, N-terminal domain",Family of unknown function (DUF5906),14,299,527,1.2249418958778853e-12,2.2777089551319275e-11,2.71
612,612,Jag N-terminus,MarR family,10,461,115,1.2248584259807573e-12,2.2777089551319275e-11,2.4
14348,14348,CRISPR-associated protein (Cas_Cas02710),Family of unknown function (DUF6293),7,282,44,1.2366466125210592e-12,2.2974071884185034e-11,2.08
3583,3583,Putative peptidoglycan binding domain,Transglycosylase SLT domain,12,348,282,1.2540123787461606e-12,2.327577554338812e-11,2.56
5950,5950,Autochaperone Domain Type 1,Autotransporter beta-domain,8,69,323,1.2583095291362008e-12,2.3334588460941007e-11,2.2
13709,13709,"DNA polymerase III beta subunit, central domain",NADH pyrophosphatase zinc ribbon domain,8,860,28,1.2619981118184428e-12,2.336108769746637e-11,2.2
13713,13713,"DNA polymerase III beta subunit, C-terminal domain",NADH pyrophosphatase zinc ribbon domain,8,860,28,1.2619981118184428e-12,2.336108769746637e-11,2.2
19011,19011,Ankyrin repeats (many copies),DisA bacterial checkpoint controller nucleotide-binding,7,463,28,1.269538317981269e-12,2.3458662914118583e-11,2.08
19010,19010,Ankyrin repeats (many copies),CdaA N-terminal transmembrane domain,7,463,28,1.269538317981269e-12,2.3458662914118583e-11,2.08
5498,5498,Helix-turn-helix,Tetratricopeptide repeat,30,716,1407,1.2751062171212956e-12,2.3540510045908063e-11,3.43
1172,1172,CRISPR-associated protein Cse1 (CRISPR_cse1),"Cas3, HD domain",21,81,6232,1.3014391453593585e-12,2.4005224985366157e-11,3.09
1573,1573,"Initiator Rep protein, WH2","Iron/manganese superoxide dismutases, alpha-hairpin domain",12,4247,28,1.3470047409602533e-12,2.4757348470075696e-11,2.56
1574,1574,"Initiator Rep protein, WH2","Iron/manganese superoxide dismutases, C-terminal domain",12,4247,28,1.3470047409602533e-12,2.4757348470075696e-11,2.56
1578,1578,"Initiator Replication protein, WH1","Iron/manganese superoxide dismutases, alpha-hairpin domain",12,4247,28,1.3470047409602533e-12,2.4757348470075696e-11,2.56
1579,1579,"Initiator Replication protein, WH1","Iron/manganese superoxide dismutases, C-terminal domain",12,4247,28,1.3470047409602533e-12,2.4757348470075696e-11,2.56
7388,7388,Cellulase (glycosyl hydrolase family 5),Putative peptidoglycan binding domain,8,65,348,1.3865992987410434e-12,2.546244555956355e-11,2.2
5574,5574,MnmE helical domain,SHS2 domain inserted in FTSA,5,128,17,1.4329587344967074e-12,2.6267099071975547e-11,1.79
5571,5571,Cell division protein FtsA,MnmE helical domain,5,17,128,1.4329587344967074e-12,2.6267099071975547e-11,1.79
3062,3062,Spy0128-like isopeptide containing domain,von Willebrand factor type A domain,12,287,346,1.4404730399303121e-12,2.638145353998145e-11,2.56
283,283,Antitoxin Xre-like helix-turn-helix domain,"Sigma-70, region 4",13,96,1376,1.4592202385213528e-12,2.6701147674253107e-11,2.64
6362,6362,Metallo-beta-lactamase superfamily,Sigma-70 region 2,14,114,1441,1.479666559025618e-12,2.705133991244271e-11,2.71
7837,7837,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,Sulfatase-modifying factor enzyme 1,11,273,274,1.5057984772809389e-12,2.7504766002418702e-11,2.48
13645,13645,"Copper binding proteins, plastocyanin/azurin family",Leucine Rich repeats (2 copies),9,122,298,1.529559702445199e-12,2.7914127067484007e-11,2.3
6891,6891,AsnC-type helix-turn-helix domain,D5 N terminal like,9,77,482,1.6104819546016768e-12,2.936502237680676e-11,2.3
12332,12332,CRISPR-associated (Cas) DxTHG family,CRISPR-associated protein (Cas_csx3),4,68,8,1.692450357266157e-12,3.0832419416028485e-11,1.61
7577,7577,"Cation transporting ATPase, C-terminus",PAS fold,23,137,4419,1.7150195924728732e-12,3.1216074043628167e-11,3.18
17168,17168,CRISPR-associated protein Cse1 (CRISPR_cse1),CRISPR-associated protein Cse2 (CRISPR_cse2),4,81,7,1.728992684782473e-12,3.1442728006373964e-11,1.61
1788,1788,KH domain,UvrD/REP helicase N-terminal domain,8,40,601,1.7337120087306565e-12,3.150084640116326e-11,2.2
4001,4001,Periplasmic binding protein-like domain,Periplasmic binding proteins and sugar binding domain of LacI family,9,230,160,1.7629815570137849e-12,3.2004538765912225e-11,2.3
6579,6579,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Periplasmic sensor domain,32,6352,192,1.964551992587525e-12,3.563249258836163e-11,3.5
5924,5924,Dockerin type I domain,Leucine rich repeat,17,579,482,2.033239785405098e-12,3.6846011431044e-11,2.89
2392,2392,K+ potassium transporter,"Sigma-70, region 4",12,78,1376,2.2107458727832764e-12,4.002766410817847e-11,2.56
15701,15701,MerR HTH family regulatory protein,Protein of unknown function (DUF3967),4,106,6,2.2127942448752158e-12,4.002969956367878e-11,1.61
7485,7485,Primase C terminal 2 (PriCT-2),"Ribonucleotide reductase, barrel domain",6,199,32,2.2160752613386417e-12,4.0054010645715986e-11,1.95
876,876,AAA domain,Reverse transcriptase (RNA-dependent DNA polymerase),53,1791,1632,2.2316127318586823e-12,4.0299612625888176e-11,3.99
17825,17825,BED zinc finger,TPR repeat,9,84,459,2.337989429957059e-12,4.218377612846607e-11,2.3
563,563,CRISPR-Cas9 WED domain,PAM-interacting domain of CRISPR-associated endonuclease Cas9,63,1115,3496,2.3551197683654457e-12,4.2455807716209517e-11,4.16
16243,16243,D-alanyl-D-alanine carboxypeptidase,GUN4-like,7,224,60,2.421684697025396e-12,4.357978631888087e-11,2.08
11195,11195,R3H domain,Ribonuclease-III-like,9,681,58,2.4279059833181428e-12,4.3615822777644855e-11,2.3
11196,11196,Double-stranded RNA binding motif,R3H domain,9,58,681,2.4279059833181428e-12,4.3615822777644855e-11,2.3
8120,8120,Peptidase S24-like,TIR domain,8,177,135,2.4896760427402333e-12,4.4686659319218576e-11,2.2
2277,2277,Carbohydrate binding domain,Subtilase family,13,191,704,2.543738945307968e-12,4.5617424260306015e-11,2.64
6930,6930,Alpha helical recognition lobe domain,CRISPR-associated endonuclease Cas9 alpha-helical lobe,11,574,139,2.736079857377777e-12,4.902419688994827e-11,2.48
5207,5207,SIS domain,TnsA endonuclease C terminal,8,120,202,2.7691821450791087e-12,4.953146990813212e-11,2.2
5206,5206,SIS domain,TnsA-like endonuclease N terminal,8,120,202,2.7691821450791087e-12,4.953146990813212e-11,2.2
2234,2234,Concanavalin A-like lectin/glucanases superfamily,Subtilase family,19,538,704,3.008737466349025e-12,5.3769805178650626e-11,3.0
1262,1262,Acetyltransferase (GNAT) domain,Middle or third domain of peptidase_M16,6,157,42,3.0240398984765333e-12,5.3996608791709215e-11,1.95
5578,5578,"BRO family, N-terminal domain",ORF6N domain,4,60,10,3.0390468757807897e-12,5.4217750000448126e-11,1.61
6503,6503,CRISPR-associated protein (Cas_Cas02710),GHMP kinases C terminal,8,282,88,3.1781720945423083e-12,5.6553411702970143e-11,2.2
6493,6493,CRISPR-associated protein (Cas_Cas02710),GHMP kinases N terminal domain,8,282,88,3.1781720945423083e-12,5.6553411702970143e-11,2.2
2221,2221,"Gram-positive pilin backbone subunit 2, Cna-B-like domain",RHS protein,6,114,58,3.2923260472154816e-12,5.853432990393337e-11,1.95
2564,2564,"Stealth protein CR1, conserved region 1","Stealth protein CR2, conserved region 2",4,24,24,3.3498933411352297e-12,5.940458371754129e-11,1.61
5359,5359,"Bacterial regulatory proteins, lacI family","Transketolase, thiamine diphosphate binding domain",6,405,18,3.357634844180348e-12,5.943991067903857e-11,1.95
5360,5360,"Bacterial regulatory proteins, lacI family","Transketolase, C-terminal domain",6,405,18,3.357634844180348e-12,5.943991067903857e-11,1.95
2144,2144,Choline-binding repeat,ell wall binding domain 2 (CWB2),12,1581,71,3.422434259531312e-12,6.053522085913509e-11,2.56
