,Label1,Label2,Count
3462,Leucine rich repeat,Right handed beta helix region,19
3463,Right handed beta helix region,Secretion system C-terminal sorting domain,6
3464,Leucine rich repeat N-terminal domain,Right handed beta helix region,11
3465,Calx-beta domain,Right handed beta helix region,7
3466,Leucine Rich repeats (2 copies),Right handed beta helix region,11
3467,CRISPR-associated protein NE0113 (Cas_NE0113),Putative RNA methylase family UPF0020,2
3468,Putative RNA methylase family UPF0020,Region found in RelA / SpoT proteins,2
3469,Putative RNA methylase family UPF0020,ThiF family,2
3470,Putative RNA methylase family UPF0020,Rhodanese-like domain,2
3471,CRISPR-associated protein NE0113 (Cas_NE0113),THUMP domain,2
3472,Region found in RelA / SpoT proteins,THUMP domain,2
3473,THUMP domain,ThiF family,2
3474,Rhodanese-like domain,THUMP domain,2
3475,Probable RNA and SrmB- binding site of polymerase A,RNA methyltransferase PUA domain,2
3476,AMP-binding enzyme,RNA methyltransferase PUA domain,2
3477,Ketopantoate reductase PanE/ApbA,RNA methyltransferase PUA domain,2
3478,Ketopantoate reductase PanE/ApbA C terminal,RNA methyltransferase PUA domain,2
3479,"Acyl-CoA dehydrogenase, C-terminal domain",RNA methyltransferase PUA domain,2
3480,"Acyl-CoA dehydrogenase, N-terminal domain",RNA methyltransferase PUA domain,2
3481,"Acyl-CoA dehydrogenase, middle domain",RNA methyltransferase PUA domain,2
3482,RNA methyltransferase PUA domain,tRNA (Uracil-5-)-methyltransferase,1
3483,RNA methyltransferase PUA domain,TRAM domain,1
3484,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase),RNA methyltransferase PUA domain,2
3485,Queuosine biosynthesis protein,RNA methyltransferase PUA domain,2
3486,"Prephenate dehydrogenase, nucleotide-binding domain",RNA methyltransferase PUA domain,2
3487,"Prephenate dehydrogenase, dimerization domain",RNA methyltransferase PUA domain,2
3488,RNA methyltransferase PUA domain,ROK family,2
3489,MarR family,RNA methyltransferase PUA domain,2
3490,Probable RNA and SrmB- binding site of polymerase A,RNA methyltransferase domain,2
3491,AMP-binding enzyme,RNA methyltransferase domain,2
3492,Ketopantoate reductase PanE/ApbA,RNA methyltransferase domain,2
3493,Ketopantoate reductase PanE/ApbA C terminal,RNA methyltransferase domain,2
3494,"Acyl-CoA dehydrogenase, C-terminal domain",RNA methyltransferase domain,2
3495,"Acyl-CoA dehydrogenase, N-terminal domain",RNA methyltransferase domain,2
3496,"Acyl-CoA dehydrogenase, middle domain",RNA methyltransferase domain,2
3497,RNA methyltransferase domain,tRNA (Uracil-5-)-methyltransferase,1
3498,RNA methyltransferase domain,TRAM domain,1
3499,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase),RNA methyltransferase domain,2
3500,Queuosine biosynthesis protein,RNA methyltransferase domain,2
3501,"Prephenate dehydrogenase, nucleotide-binding domain",RNA methyltransferase domain,2
3502,"Prephenate dehydrogenase, dimerization domain",RNA methyltransferase domain,2
3503,RNA methyltransferase domain,ROK family,2
3504,MarR family,RNA methyltransferase domain,2
3505,Chaperone of endosialidase,LPXTG cell wall anchor motif,1
3506,Chaperone of endosialidase,Collagen triple helix repeat (20 copies),5
3507,Collagen triple helix repeat (20 copies),LPXTG cell wall anchor motif,106
3508,Methyl-accepting chemotaxis protein (MCP) signalling domain,ParB/Sulfiredoxin domain,76
3509,HAMP domain,ParB/Sulfiredoxin domain,73
3510,Centromere-binding protein HTH domain,Methyl-accepting chemotaxis protein (MCP) signalling domain,8
3511,Centromere-binding protein HTH domain,HAMP domain,8
3512,Centromere-binding protein HTH domain,KorB domain,26
3513,Centromere-binding protein HTH domain,KorB C-terminal beta-barrel domain,3
3514,Centromere-binding protein HTH domain,ParB/Sulfiredoxin domain,105
3515,Helix-turn-helix domain of resolvase,His Kinase A (phospho-acceptor) domain,17
3516,HAMP domain,His Kinase A (phospho-acceptor) domain,135
3517,His Kinase A (phospho-acceptor) domain,Seryl-tRNA synthetase N-terminal domain,8
3518,His Kinase A (phospho-acceptor) domain,"tRNA synthetase class II core domain (G, H, P, S and T)",8
3519,Helix-turn-helix domain of resolvase,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",17
3520,HAMP domain,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",206
3521,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Seryl-tRNA synthetase N-terminal domain,8
3522,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase","tRNA synthetase class II core domain (G, H, P, S and T)",8
3523,AraC-like ligand binding domain,N-terminal domain of anti-restriction factor ArdC,21
3524,Helix-turn-helix domain,N-terminal domain of anti-restriction factor ArdC,24
3525,EAL domain,N-terminal domain of anti-restriction factor ArdC,6
3526,"Diguanylate cyclase, GGDEF domain",N-terminal domain of anti-restriction factor ArdC,7
3527,LysR substrate binding domain,N-terminal domain of anti-restriction factor ArdC,5
3528,"Bacterial regulatory helix-turn-helix protein, lysR family",N-terminal domain of anti-restriction factor ArdC,5
3529,Cyclic nucleotide-binding domain,N-terminal domain of anti-restriction factor ArdC,10
3530,Crp-like helix-turn-helix domain,N-terminal domain of anti-restriction factor ArdC,10
3531,N-terminal domain of anti-restriction factor ArdC,Zincin-like metallopeptidase,12
3532,N-terminal domain of anti-restriction factor ArdC,N-terminal domain of anti-restriction factor ArdC,6
3533,"Bacterial regulatory proteins, luxR family",N-terminal domain of anti-restriction factor ArdC,2
3534,N-terminal domain of anti-restriction factor ArdC,Response regulator receiver domain,9
3535,AraC-like ligand binding domain,Zincin-like metallopeptidase,21
3536,Helix-turn-helix domain,Zincin-like metallopeptidase,22
3537,EAL domain,Zincin-like metallopeptidase,6
3538,"Diguanylate cyclase, GGDEF domain",Zincin-like metallopeptidase,6
3539,LysR substrate binding domain,Zincin-like metallopeptidase,3
3540,"Bacterial regulatory helix-turn-helix protein, lysR family",Zincin-like metallopeptidase,3
3541,Cyclic nucleotide-binding domain,Zincin-like metallopeptidase,10
3542,Crp-like helix-turn-helix domain,Zincin-like metallopeptidase,10
3543,Zincin-like metallopeptidase,Zincin-like metallopeptidase,6
3544,"Bacterial regulatory proteins, luxR family",Zincin-like metallopeptidase,2
3545,Response regulator receiver domain,Zincin-like metallopeptidase,9
3546,Glutamine amidotransferases class-II,RimM N-terminal domain,2
3547,Glutamine amidotransferases class-II,PRC-barrel domain,2
3548,"Gamma-glutamyl cyclotransferase, AIG2-like",RimM N-terminal domain,2
3549,"Gamma-glutamyl cyclotransferase, AIG2-like",PRC-barrel domain,2
3550,CRISPR associated protein Cas1,HNH endonuclease,39
3551,CRISPR associated protein Cas1,Cas9 alpha-helical lobe domain,27
3552,CRISPR associated protein Cas1,RuvC endonuclease subdomain 3,31
3553,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",Phage Mu protein F like protein,3
3554,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",Phage portal protein,3
3555,Cell Wall Hydrolase,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",6
3556,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",Putative peptidoglycan binding domain,10
3557,Bacterial SH3 domain,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",7
3558,Glycosyl hydrolases family 25,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",7
3559,"Membrane-bound lytic murein transglycosylase C, N-terminal domain","Membrane-bound lytic murein transglycosylase C, N-terminal domain",4
3560,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",Transglycosylase SLT domain,8
3561,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",Polysaccharide deacetylase,4
3562,Chitobiase/beta-hexosaminidase C-terminal domain,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",2
3563,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",Secretion system C-terminal sorting domain,4
3564,CotH kinase protein,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",4
3565,Lamin Tail Domain,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",4
3566,Glycosyl hydrolases family 18,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",6
3567,"Chitinase A, N-terminal domain","Membrane-bound lytic murein transglycosylase C, N-terminal domain",6
3568,Cellulose or protein binding domain,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",4
3569,Glycosyl hydrolase family 10,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",4
3570,Glycosyl hydrolases family 31 TIM-barrel domain,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",2
3571,Glycosyl hydrolase family 31 C-terminal domain,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",2
3572,Domain of unknown function (DUF5110),"Membrane-bound lytic murein transglycosylase C, N-terminal domain",2
3573,Domain of unknown function (DUF4982),"Membrane-bound lytic murein transglycosylase C, N-terminal domain",6
3574,"Glycosyl hydrolases family 2, TIM barrel domain","Membrane-bound lytic murein transglycosylase C, N-terminal domain",6
3575,Glycosyl hydrolases family 2,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",6
3576,"Glycosyl hydrolases family 2, sugar binding domain","Membrane-bound lytic murein transglycosylase C, N-terminal domain",6
3577,Carbohydrate binding module (family 35),"Membrane-bound lytic murein transglycosylase C, N-terminal domain",6
3578,"Carbohydrate esterase, sialic acid-specific acetylesterase","Membrane-bound lytic murein transglycosylase C, N-terminal domain",6
3579,Divergent InlB B-repeat domain,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",6
3580,Phage Mu protein F like protein,Transglycosylase SLT domain,3
3581,Phage portal protein,Transglycosylase SLT domain,3
3582,Cell Wall Hydrolase,Transglycosylase SLT domain,6
3583,Putative peptidoglycan binding domain,Transglycosylase SLT domain,12
3584,Bacterial SH3 domain,Transglycosylase SLT domain,8
3585,Transglycosylase SLT domain,Transglycosylase SLT domain,4
3586,Polysaccharide deacetylase,Transglycosylase SLT domain,4
3587,Chitobiase/beta-hexosaminidase C-terminal domain,Transglycosylase SLT domain,2
3588,Secretion system C-terminal sorting domain,Transglycosylase SLT domain,4
3589,CotH kinase protein,Transglycosylase SLT domain,4
3590,Lamin Tail Domain,Transglycosylase SLT domain,4
3591,Glycosyl hydrolases family 18,Transglycosylase SLT domain,6
3592,"Chitinase A, N-terminal domain",Transglycosylase SLT domain,6
3593,Cellulose or protein binding domain,Transglycosylase SLT domain,4
3594,Glycosyl hydrolase family 10,Transglycosylase SLT domain,4
3595,Glycosyl hydrolases family 31 TIM-barrel domain,Transglycosylase SLT domain,2
3596,Glycosyl hydrolase family 31 C-terminal domain,Transglycosylase SLT domain,2
3597,Domain of unknown function (DUF5110),Transglycosylase SLT domain,2
3598,Domain of unknown function (DUF4982),Transglycosylase SLT domain,6
3599,"Glycosyl hydrolases family 2, TIM barrel domain",Transglycosylase SLT domain,6
3600,Glycosyl hydrolases family 2,Transglycosylase SLT domain,6
3601,"Glycosyl hydrolases family 2, sugar binding domain",Transglycosylase SLT domain,6
3602,Carbohydrate binding module (family 35),Transglycosylase SLT domain,6
3603,"Carbohydrate esterase, sialic acid-specific acetylesterase",Transglycosylase SLT domain,6
3604,Divergent InlB B-repeat domain,Transglycosylase SLT domain,6
3605,Autotransporter beta-domain,"Mycoplasma protein of unknown function, DUF285",28
3606,"Mycoplasma protein of unknown function, DUF285",Pertactin,8
3607,Immunoglobulin domain,"Mycoplasma protein of unknown function, DUF285",8
3608,"Copper binding proteins, plastocyanin/azurin family","Mycoplasma protein of unknown function, DUF285",13
3609,"Bacterial surface protein, Ig-like domain","Mycoplasma protein of unknown function, DUF285",9
3610,"Mycoplasma protein of unknown function, DUF285",Passenger-associated-transport-repeat,20
3611,Autochaperone Domain Type 1,"Mycoplasma protein of unknown function, DUF285",9
3612,"Mycoplasma protein of unknown function, DUF285",YDG domain,12
3613,FG-GAP-like repeat,"Mycoplasma protein of unknown function, DUF285",8
3614,Autotransporter beta-domain,Secretion system C-terminal sorting domain,31
3615,Pertactin,Secretion system C-terminal sorting domain,9
3616,Immunoglobulin domain,Secretion system C-terminal sorting domain,14
3617,"Copper binding proteins, plastocyanin/azurin family",Secretion system C-terminal sorting domain,20
3618,Secretion system C-terminal sorting domain,Secretion system C-terminal sorting domain,52
3619,Dockerin type I domain,Secretion system C-terminal sorting domain,28
3620,Passenger-associated-transport-repeat,Secretion system C-terminal sorting domain,19
3621,Autochaperone Domain Type 1,Secretion system C-terminal sorting domain,9
3622,Secretion system C-terminal sorting domain,YDG domain,10
3623,FG-GAP-like repeat,Secretion system C-terminal sorting domain,22
3624,Bacterial capsule synthesis protein PGA_cap,"Initiator Replication protein, WH1",8
3625,Family of unknown function (DUF6270),"Initiator Replication protein, WH1",8
3626,Bacterial capsule synthesis protein PGA_cap,"Initiator Rep protein, WH2",8
3627,Family of unknown function (DUF6270),"Initiator Rep protein, WH2",8
3628,"Iron dependent repressor, metal binding and dimerisation domain",Tetratricopeptide repeat,19
3629,"Iron dependent repressor, N-terminal DNA binding domain",Tetratricopeptide repeat,19
3630,"Iron dependent repressor, metal binding and dimerisation domain",TolA binding protein trimerisation,7
3631,"Iron dependent repressor, N-terminal DNA binding domain",TolA binding protein trimerisation,7
3632,CRISPR-associated endoribonuclease Cas6,Primase C terminal 2 (PriCT-2),2
3633,Primase C terminal 2 (PriCT-2),Reverse transcriptase (RNA-dependent DNA polymerase),2
3634,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Primase C terminal 2 (PriCT-2),2
3635,"DNA mismatch repair protein, C-terminal domain",Primase C terminal 2 (PriCT-2),2
3636,MutL C terminal dimerisation domain,Primase C terminal 2 (PriCT-2),2
3637,AAA domain,Primase C terminal 2 (PriCT-2),16
3638,Primase C terminal 2 (PriCT-2),UvrD-like helicase C-terminal domain,2
3639,DnaB-like helicase N terminal domain,Primase C terminal 2 (PriCT-2),1
3640,Primase C terminal 2 (PriCT-2),Ribonuclease B OB domain,2
3641,Primase C terminal 2 (PriCT-2),RNB domain,2
3642,Cold shock domain,Primase C terminal 2 (PriCT-2),2
3643,Primase C terminal 2 (PriCT-2),S1 RNA binding domain,2
3644,AAA domain,CRISPR-associated endoribonuclease Cas6,14
3645,AAA domain,"DNA mismatch repair protein, C-terminal domain",6
3646,AAA domain,MutL C terminal dimerisation domain,6
3647,AAA domain,Ribonuclease B OB domain,14
3648,AAA domain,RNB domain,12
3649,AAA domain,Cold shock domain,14
3650,AAA domain,S1 RNA binding domain,10
3651,GspL periplasmic domain,Helix-turn-helix,2
3652,GspL periplasmic domain,Peptidase S24-like,2
3653,Helix-turn-helix,"Type II secretion system (T2SS), protein L",4
3654,Peptidase S24-like,"Type II secretion system (T2SS), protein L",2
3655,Toprim-like,Toprim-like,13
3656,Restriction endonuclease,Toprim-like,4
3657,"HB1, ASXL, restriction endonuclease HTH domain",Toprim-like,4
3658,Mrr N-terminal domain,Toprim-like,4
3659,Ribonuclease B OB domain,Toprim-like,4
3660,Cold shock domain,Toprim-like,4
3661,STAS-like domain of unknown function (DUF4325),Toprim-like,4
3662,Toprim-like,Winged helix-turn-helix DNA-binding,4
3663,DnaB-like helicase C terminal domain,Virulence-associated protein E-like domain,3
3664,"ADDB, N-terminal",DnaB-like helicase C terminal domain,6
3665,DnaB-like helicase C terminal domain,PD-(D/E)XK nuclease superfamily,12
3666,DnaB-like helicase C terminal domain,Toprim-like,7
3667,DnaB-like helicase C terminal domain,Restriction endonuclease,2
3668,DnaB-like helicase C terminal domain,"HB1, ASXL, restriction endonuclease HTH domain",2
3669,DnaB-like helicase C terminal domain,Mrr N-terminal domain,2
3670,D5 N terminal like,DnaB-like helicase C terminal domain,8
3671,DnaB-like helicase C terminal domain,Ribonuclease B OB domain,2
3672,Cold shock domain,DnaB-like helicase C terminal domain,2
3673,DnaB-like helicase C terminal domain,STAS-like domain of unknown function (DUF4325),4
3674,DnaB-like helicase C terminal domain,Winged helix-turn-helix DNA-binding,4
3675,"Bacterial regulatory proteins, lacI family",Glutamine amidotransferase domain,6
3676,Glutamine amidotransferase domain,Periplasmic binding proteins and sugar binding domain of LacI family,3
3677,BFD-like [2Fe-2S] binding domain,Glutamine amidotransferase domain,2
3678,FAD dependent oxidoreductase,Glutamine amidotransferase domain,2
3679,Glutamine amidotransferase domain,Periplasmic binding protein-like domain,3
3680,Asparagine synthase,"Bacterial regulatory proteins, lacI family",5
3681,Asparagine synthase,Periplasmic binding proteins and sugar binding domain of LacI family,3
3682,Asparagine synthase,BFD-like [2Fe-2S] binding domain,2
3683,Asparagine synthase,FAD dependent oxidoreductase,2
3684,Asparagine synthase,Periplasmic binding protein-like domain,2
3685,MCM OB domain,Primase C terminal 1 (PriCT-1),1
3686,MCM P-loop domain,Primase C terminal 1 (PriCT-1),1
3687,NACHT domain,Primase C terminal 1 (PriCT-1),2
3688,Primase C terminal 1 (PriCT-1),"Schlafen, AlbA_2",2
3689,Helicase conserved C-terminal domain,Primase C terminal 1 (PriCT-1),1
3690,Primase C terminal 1 (PriCT-1),"Type III restriction enzyme, res subunit",1
3691,MCM OB domain,Replicase family,1
3692,MCM P-loop domain,Replicase family,1
3693,NACHT domain,Replicase family,2
3694,Replicase family,"Schlafen, AlbA_2",2
3695,Helicase conserved C-terminal domain,Replicase family,1
3696,Replicase family,"Type III restriction enzyme, res subunit",1
3697,Helix-turn-helix,MCM OB domain,3
3698,Helix-turn-helix,MCM P-loop domain,3
3699,Helix-turn-helix,NACHT domain,2
3700,Helix-turn-helix,"Schlafen, AlbA_2",2
3701,Helicase conserved C-terminal domain,Helix-turn-helix,1
3702,Helix-turn-helix,"Type III restriction enzyme, res subunit",1
3703,"Initiator Rep protein, WH2",Putative peptidoglycan binding domain,13
3704,"Initiator Rep protein, WH2",N-acetylmuramoyl-L-alanine amidase,17
3705,"Initiator Replication protein, WH1",Putative peptidoglycan binding domain,13
3706,"Initiator Replication protein, WH1",N-acetylmuramoyl-L-alanine amidase,17
3707,DGC-associated coil,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",6
3708,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Phosphate regulon sensor protein PhoR,6
3709,His Kinase A (phospho-acceptor) domain,Phosphate regulon sensor protein PhoR,5
3710,"Diguanylate cyclase, GGDEF domain",Phosphate regulon sensor protein PhoR,2
3711,DGC-associated coil,Phosphate regulon sensor protein PhoR,2
3712,Phosphate regulon sensor protein PhoR,"Resolvase, N terminal domain",2
3713,Helix-turn-helix domain of resolvase,Phosphate regulon sensor protein PhoR,2
3714,Phosphate regulon sensor protein PhoR,Response regulator receiver domain,1
3715,"Diguanylate cyclase, GGDEF domain",PAS domain,257
3716,DGC-associated coil,PAS domain,4
3717,PAS domain,"Resolvase, N terminal domain",6
3718,Helix-turn-helix domain of resolvase,PAS domain,2
3719,DGC-associated coil,His Kinase A (phospho-acceptor) domain,4
3720,FAD dependent oxidoreductase,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",6
3721,FAD dependent oxidoreductase,His Kinase A (phospho-acceptor) domain,5
3722,"Diguanylate cyclase, GGDEF domain",FAD dependent oxidoreductase,2
3723,DGC-associated coil,FAD dependent oxidoreductase,2
3724,FAD dependent oxidoreductase,"Resolvase, N terminal domain",2
3725,FAD dependent oxidoreductase,Helix-turn-helix domain of resolvase,2
3726,FAD dependent oxidoreductase,Response regulator receiver domain,1
3727,ADP-ribosyltransferase exoenzyme,"Initiator Rep protein, WH2",2
3728,"Initiator Rep protein, WH2","Papain fold toxin 1, glutamine deamidase",4
3729,ADP-ribosyltransferase exoenzyme,"Initiator Replication protein, WH1",2
3730,"Initiator Replication protein, WH1","Papain fold toxin 1, glutamine deamidase",4
3731,C-lobe and N-lobe beta barrels of Tf-binding protein B,Domain of unknown function (DUF4165),4
3732,Bacterial Ig-like domain (group 3),C-lobe and N-lobe beta barrels of Tf-binding protein B,4
3733,Bacterial Ig-like domain,C-lobe and N-lobe beta barrels of Tf-binding protein B,4
3734,Domain of unknown function (DUF4165),N-Lobe handle Tf-binding protein B,2
3735,Bacterial Ig-like domain (group 3),N-Lobe handle Tf-binding protein B,2
3736,Bacterial Ig-like domain,N-Lobe handle Tf-binding protein B,2
3737,C-lobe handle domain of Tf-binding protein B,Domain of unknown function (DUF4165),4
3738,Bacterial Ig-like domain (group 3),C-lobe handle domain of Tf-binding protein B,4
3739,Bacterial Ig-like domain,C-lobe handle domain of Tf-binding protein B,4
3740,Helicase conserved C-terminal domain,IclR helix-turn-helix domain,28
3741,Helicase conserved C-terminal domain,WYL domain,95
3742,HTH domain,Helicase conserved C-terminal domain,28
3743,DEAD/DEAH box helicase,IclR helix-turn-helix domain,29
3744,DEAD/DEAH box helicase,WYL domain,98
3745,DEAD/DEAH box helicase,HTH domain,25
3746,Flagellin hook IN motif,"Initiator Rep protein, WH2",2
3747,Bacterial flagellin N-terminal helical region,"Initiator Rep protein, WH2",6
3748,"Initiator Rep protein, WH2",phage-Barnase-EndoU-ColicinE5/D-RelE like nuclease3,2
3749,Flagellin hook IN motif,"Initiator Replication protein, WH1",2
3750,Bacterial flagellin N-terminal helical region,"Initiator Replication protein, WH1",6
3751,"Initiator Replication protein, WH1",phage-Barnase-EndoU-ColicinE5/D-RelE like nuclease3,2
3752,LysM domain,Putative peptidoglycan binding domain,11
3753,"L,D-transpeptidase catalytic domain",LysM domain,7
3754,LysM domain,LysM domain,8
3755,LysM domain,Peptidase family M23,6
3756,LysM domain,Protein of unknown function (DUF3048) N-terminal domain,4
3757,LysM domain,Protein of unknown function (DUF3048) C-terminal domain,4
3758,"L,D-transpeptidase catalytic domain",Transglycosylase SLT domain,2
3759,LysM domain,Transglycosylase SLT domain,6
3760,Peptidase family M23,Transglycosylase SLT domain,2
3761,Protein of unknown function (DUF3048) N-terminal domain,Transglycosylase SLT domain,2
3762,Protein of unknown function (DUF3048) C-terminal domain,Transglycosylase SLT domain,2
3763,Endonuclease/Exonuclease/phosphatase family,Putative transposase DNA-binding domain,9
3764,Endonuclease/Exonuclease/phosphatase family,Probable transposase,9
3765,Endonuclease/Exonuclease/phosphatase family,Helix-turn-helix domain,2
3766,Domain of unknown function (DUF6451),Putative transposase DNA-binding domain,9
3767,Domain of unknown function (DUF6451),Probable transposase,9
3768,Domain of unknown function (DUF6451),Helix-turn-helix domain,2
3769,Probable transposase,Reverse transcriptase (RNA-dependent DNA polymerase),18
3770,Bacterial Ig-like domain (group 2),Propeptide_C25,2
3771,Flavodoxin,Propeptide_C25,2
3772,Carbohydrate binding domain (family 11),Propeptide_C25,2
3773,Glycosyl hydrolase catalytic core,Propeptide_C25,2
3774,Beta-galactosidase,Propeptide_C25,2
3775,CARDB,Propeptide_C25,4
3776,Carbohydrate family 9 binding domain-like,Propeptide_C25,2
3777,Propeptide_C25,WD40-like Beta Propeller Repeat,3
3778,OmpA family,Propeptide_C25,3
3779,Bacterial Ig-like domain (group 2),Peptidase family C25,2
3780,Flavodoxin,Peptidase family C25,2
3781,Carbohydrate binding domain (family 11),Peptidase family C25,2
3782,Glycosyl hydrolase catalytic core,Peptidase family C25,2
3783,Beta-galactosidase,Peptidase family C25,2
3784,CARDB,Peptidase family C25,6
3785,Carbohydrate family 9 binding domain-like,Peptidase family C25,2
3786,Peptidase family C25,WD40-like Beta Propeller Repeat,3
3787,OmpA family,Peptidase family C25,3
3788,LysR substrate binding domain,Winged helix-turn-helix DNA-binding,4
3789,Lrp/AsnC ligand binding domain,LysR substrate binding domain,10
3790,LysR substrate binding domain,TrkA-N domain,8
3791,LysR substrate binding domain,TrkA-C domain,8
3792,"Bacterial regulatory helix-turn-helix protein, lysR family",Winged helix-turn-helix DNA-binding,4
3793,"Bacterial regulatory helix-turn-helix protein, lysR family",Lrp/AsnC ligand binding domain,10
3794,"Bacterial regulatory helix-turn-helix protein, lysR family",TrkA-N domain,8
3795,"Bacterial regulatory helix-turn-helix protein, lysR family",TrkA-C domain,8
3796,N-acetylmuramoyl-L-alanine amidase,Repeat of unknown function (DUF5648),2
3797,N-acetylmuramoyl-L-alanine amidase,Protein of unknown function (DUF1524),2
3798,LysM domain,Repeat of unknown function (DUF5648),2
3799,LysM domain,Protein of unknown function (DUF1524),2
3800,AMIN domain,Repeat of unknown function (DUF5648),2
3801,AMIN domain,Protein of unknown function (DUF1524),2
3802,His Kinase A (phospho-acceptor) domain,Protein kinase domain,12
3803,His Kinase A (phospho-acceptor) domain,Trypsin-like peptidase domain,10
3804,HAMP domain,Histidine kinase,52
3805,HAMP domain,HAMP domain,201
3806,HAMP domain,Response regulator receiver domain,44
3807,HAMP domain,Tetratricopeptide repeat,33
3808,HAMP domain,Protein kinase domain,6
3809,HAMP domain,TPR repeat,10
3810,HAMP domain,Trypsin-like peptidase domain,8
3811,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Protein kinase domain,22
3812,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Trypsin-like peptidase domain,14
3813,Cupin domain,Cupin domain,2
3814,Cupin domain,Helix-turn-helix,4
3815,Helix-turn-helix,Helix-turn-helix,12
3816,3'-5' exonuclease,GlnD PII-uridylyltransferase,6
3817,3'-5' exonuclease,Nucleotidyltransferase domain,6
3818,3'-5' exonuclease,HD domain,6
3819,DNA polymerase family A,GlnD PII-uridylyltransferase,6
3820,DNA polymerase family A,Nucleotidyltransferase domain,6
3821,DNA polymerase family A,HD domain,6
3822,Tc5 transposase DNA-binding domain,hAT family C-terminal dimerisation region,2
3823,BED zinc finger,Tc5 transposase DNA-binding domain,2
3824,FAR1 DNA-binding domain,Tc5 transposase DNA-binding domain,2
3825,MULE transposase domain,Tc5 transposase DNA-binding domain,2
3826,DDE superfamily endonuclease,hAT family C-terminal dimerisation region,2
3827,BED zinc finger,DDE superfamily endonuclease,2
3828,DDE superfamily endonuclease,FAR1 DNA-binding domain,2
3829,DDE superfamily endonuclease,MULE transposase domain,2
3830,CENP-B N-terminal DNA-binding domain,hAT family C-terminal dimerisation region,2
3831,BED zinc finger,CENP-B N-terminal DNA-binding domain,2
3832,CENP-B N-terminal DNA-binding domain,FAR1 DNA-binding domain,2
3833,CENP-B N-terminal DNA-binding domain,MULE transposase domain,2
3834,Riboflavin kinase,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",4
3835,FAD synthetase,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",4
3836,Pyruvate ferredoxin/flavodoxin oxidoreductase,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",2
3837,"Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg","Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",2
3838,Pyruvate:ferredoxin oxidoreductase core domain II,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",2
3839,NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",2
3840,NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",2
3841,Creatinase/Prolidase N-terminal domain,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",2
3842,Metallopeptidase family M24,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",2
3843,"Bacterial regulatory proteins, gntR family","Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",4
3844,Homoserine dehydrogenase,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",4
3845,"Homoserine dehydrogenase, NAD binding domain","Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",4
3846,Riboflavin kinase,"Thiamine pyrophosphate enzyme, central domain",4
3847,FAD synthetase,"Thiamine pyrophosphate enzyme, central domain",4
3848,Pyruvate ferredoxin/flavodoxin oxidoreductase,"Thiamine pyrophosphate enzyme, central domain",2
3849,"Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg","Thiamine pyrophosphate enzyme, central domain",2
